"","Наименование пункта пропуска","Филиал","latitude","longitude","Федеральный округ","Вид","Количество","Год","Категория","Установлен / закрыт","Функционирует/не функционирует"
"530","Куйбышево (Дьяково)","Ростовский","47.829234","39.121442","ЮФО","АПП","0","2018","Число людей","установлен","нет"
"535","Курган","Уральский","55.462743","65.411209","УФО","ВПП","0","2018","Число людей","установлен","нет"
"537","Кызыл","Новосибирский","51.676179021731","94.405016160833","СФО","ВПП","0","2018","Число людей","установлен","нет"
"539","Лаврентия","Владивостокский","65.587303","189.001955","ДФО","МПП","0","2018","Число людей","установлен","нет"
"540","Левашово","Санкт-Петербургский","60.090118","30.19562","СЗФО","ВПП","0","2018","Число людей","установлен","нет"
"541","Лесозаводск","Владивостокский","45.454651203762","133.37783813476","ДФО","СПП","0","2018","Число людей","установлен","нет"
"545","Локоть","Брянский","51.675","34.2175","ЦФО","ЖДПП","0","2018","Число людей","установлен","нет"
"553","Магас","Северо-Кавказский","43.319877092768","45.012048912086","СКФО","ВПП","0","2018","Число людей","установлен","нет"
"555","Макушино","Уральский","55.221363069505","67.2304995","УФО","ЖДПП","0","2018","Число людей","установлен","да"
"562","Марцево","Ростовский","47.263000000268","38.883600000292","ЮФО","ЖДПП","0","2018","Число людей","установлен","да"
"570","Можаевка","Ростовский","48.759866","39.737029","ЮФО","АПП","0","2018","Число людей","установлен","нет"
"577","Мугур-Аксы","Новосибирский","50.35","90.5","СФО","АПП","0","2018","Число людей","установлен","нет"
"581","Нарьян-Мар","Мурманский","67.647187","53.002155","СЗФО","МПП","0","2018","Число людей","установлен","нет"
"587","Нежеголь","Белгородский","50.372308","36.850314","ЦФО","ЖДПП","0","2018","Число людей","установлен","да"
"592","Нижнеленинское","Хабаровский","47.975056","132.671355","ДФО","ЖДПП","0","2018","Число людей","установлен","да"
"598","Новобелая","Белгородский","49.7947","39.245439","ЦФО","АПП","0","2018","Число людей","установлен","да"
"605","Норильск (Алыкель)","Мурманский","69.326404","87.348495","СФО","ВПП","0","2018","Число людей","установлен","нет"
"618","Орск","Уральский","51.076832","58.593305","ПФО","ВПП","0","2018","Число людей","установлен","да"
"625","Пашково","Хабаровский","48.884618","130.656092","ДФО","СПП","0","2018","Число людей","установлен","нет"
"626","Певек","Владивостокский","69.702388","170.259281","ДФО","МПП","0","2018","Число людей","установлен","нет"
"639","Покровка","Читинский","53.343378","121.535043","ДФО","АПП","0","2018","Число людей","установлен","нет"
"643","Поронайск","Владивостокский","49.227984","143.116655","ДФО","МПП","0","2018","Число людей","установлен","нет"
"644","Посинь","Псковский","56.341761","28.248432","СЗФО","ЖДПП","0","2018","Число людей","установлен","нет"
"651","Псков","Псковский","57.814291","28.326674","СЗФО","РПП","0","2018","Число людей","установлен","нет"
"654","Разъезд Карьер 122 км","Ростовский","48.6833","39.75","ЮФО","ЖДПП","0","2018","Число людей","установлен","нет"
"655","Разъезд Выстрел","Белгородский","50.008735","38.19259","ЦФО","ЖДПП","0","2018","Число людей","установлен","нет"
"660","Рыбачий","Калининградский","55.158399999142","20.85000000149","СЗФО","РПП","0","2018","Число людей","установлен","да"
"669","Саратов (Гагарин)","Волгоградский","51.558451","46.031133","ПФО","ВПП","0","2018","Число людей","установлен","да"
"676","Симферополь","Крымский","44.961745","34.082217","ЮФО","ЖДПП","0","2018","Число людей","установлен","нет"
