"","Наименование пункта пропуска","Филиал","latitude","longitude","Федеральный округ","Вид","Количество","Год","Категория","Установлен / закрыт","Функционирует/не функционирует"
"1123","Черняховск","Калининградский","54.629537","21.817797","СЗФО","ЖДПП","0","2019","Число людей","установлен","да"
"1125","Чертково","Ростовский","49.37829","40.145063","ЮФО","ЖДПП","0","2019","Число людей","установлен","нет"
"1132","Элиста","Волгоградский","46.369372","44.330585","ЮФО","ВПП","0","2019","Число людей","установлен","да"
"1140","Абагайтуй","Читинский","49.5833","117.8167","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1145","Айнек-Гол","Читинский","50.3678","103.279","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1147","Александровск-Сахалинский","Владивостокский","50.894461","142.146687","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1148","Алтан","Читинский","49.8833","109.0667","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1155","Армянск","Крымский","46.115953","33.702811","ЮФО","ЖДПП","0","2020","Число людей","установлен","да"
"1158","Аспайты","Новосибирский","50.3099","90.0221","СФО","АПП","0","2020","Число людей","установлен","нет"
"1162","Багратионовск","Калининградский","54.3927","20.6475","СЗФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1164","Безымено","Белгородский","50.368527","35.756453","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1165","Белая Березка","Брянский","52.3835","33.4804","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1171","Благовещенск-1","Хабаровский","50.252764","127.547584","ДФО","ППП","0","2020","Число людей","установлен","нет"
"1173","Большой Уссурийский","Хабаровский","48.347254","134.768252","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1175","Братск","Читинский","56.365225","101.702708","СФО","ВПП","0","2020","Число людей","установлен","да"
"1185","Бускульский","Уральский","53.796262","61.157583","УФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1187","Валуйки","Белгородский","50.078024","38.176687","ЦФО","АПП","0","2020","Число людей","установлен","да"
"1190","Варандей","Мурманский","68.800279","57.984684","СЗФО","МПП","0","2020","Число людей","установлен","да"
"1191","Вергелевка","Белгородский","50.3108","36.5807","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1203","Волошино","Ростовский","48.905176","39.918452","ЮФО","АПП","0","2020","Число людей","установлен","да"
"1213","Гартмашевка","Белгородский","49.6034","39.9757","ЦФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1215","Геленджик","Сочинский","44.578298","38.022025","ЮФО","МПП","0","2020","Число людей","установлен","нет"
"1216","Глушково","Брянский","51.286303","34.731497","ЦФО","ЖДПП","0","2020","Число людей","установлен","да"
"1217","Головчино","Белгородский","50.4348","35.8312","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1218","Головчино","Белгородский","50.511166","35.825004","ЦФО","ЖДПП","0","2020","Число людей","установлен","да"
"1227","Джалинда","Хабаровский","53.482007","123.888834","ДФО","СПП","0","2020","Число людей","установлен","нет"
"1229","Джанкой","Крымский","45.709549","34.387751","ЮФО","ЖДПП","0","2020","Число людей","установлен","да"
"1230","Диксон","Мурманский","73.505283051196","80.50357517791","СФО","МПП","0","2020","Число людей","установлен","нет"
"1231","Долбино","Белгородский","50.7621","35.5521","ЦФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1233","Донецк (Северный)","Ростовский","48.34025","39.920856","ЮФО","АПП","0","2020","Число людей","установлен","нет"
"1234","Дубки","Калининградский","55.066608","21.952485","СЗФО","АПП","0","2020","Число людей","установлен","да"
"1239","Железнодорожный","Калининградский","54.356622","21.323472","СЗФО","АПП","0","2020","Число людей","установлен","нет"
"1241","Желтура","Читинский","50.4742","105.1031","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1248","Зерново","Брянский","52.192193","34.058658","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1252","Иваново (Южный)","Центральный аппарат","56.942225012197","40.9305055","ЦФО","ВПП","0","2020","Число людей","установлен","нет"
"1253","Ижевск","Волгоградский","55","55","ПФО","ВПП","0","2020","Число людей","установлен","нет"
"1255","Илек-Пеньковка","Белгородский","50.751077","35.539322","ЦФО","ЖДПП","0","2020","Число людей","установлен","да"
"1270","Кани-Курган","Хабаровский","50.197449","127.641475","ДФО","АПП","0","2020","Число людей","установлен","да"
"1274","Кварцитный","Уральский","54.025807686913","61.745855156128","УФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1277","Клименки","Белгородский","50.0551","38.3698","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1280","Константиновка","Хабаровский","49.6167","127.9833","ДФО","СПП","0","2020","Число людей","установлен","нет"
"1282","Крабозаводский","Владивостокский","43.8262","146.7486","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1288","Крылово","Калининградский","54.3275","21.5533","СЗФО","АПП","0","2020","Число людей","установлен","нет"
"1290","Куйбышево (Дьяково)","Ростовский","47.829234","39.121442","ЮФО","АПП","0","2020","Число людей","установлен","нет"
"1295","Курган","Уральский","55.462743","65.411209","УФО","ВПП","0","2020","Число людей","установлен","нет"
"1297","Кызыл","Новосибирский","51.676179021731","94.405016160833","СФО","ВПП","0","2020","Число людей","установлен","нет"
"1299","Лаврентия","Владивостокский","65.587303","189.001955","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1300","Левашово","Санкт-Петербургский","60.090118","30.19562","СЗФО","ВПП","0","2020","Число людей","установлен","нет"
"1301","Лесозаводск","Владивостокский","45.454651203762","133.37783813476","ДФО","СПП","0","2020","Число людей","установлен","нет"
"1305","Локоть","Брянский","51.675","34.2175","ЦФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1313","Магас","Северо-Кавказский","43.319877092768","45.012048912086","СКФО","ВПП","0","2020","Число людей","установлен","нет"
"1321","Марково","Владивостокский","45.550477","133.321171","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1322","Марцево","Ростовский","47.263000000268","38.883600000292","ЮФО","ЖДПП","0","2020","Число людей","установлен","да"
"1330","Можаевка","Ростовский","48.759866","39.737029","ЮФО","АПП","0","2020","Число людей","установлен","нет"
"1333","Москальво","Владивостокский","53.547806","142.516746","ДФО","МПП","0","2020","Число людей","установлен","да"
"1337","Мугур-Аксы","Новосибирский","50.35","90.5","СФО","АПП","0","2020","Число людей","установлен","нет"
"1341","Нарьян-Мар","Мурманский","67.647187","53.002155","СЗФО","МПП","0","2020","Число людей","установлен","нет"
"1347","Нежеголь","Белгородский","50.372308","36.850314","ЦФО","ЖДПП","0","2020","Число людей","установлен","да"
"1352","Нижнеленинское","Хабаровский","47.975056","132.671355","ДФО","ЖДПП","0","2020","Число людей","установлен","да"
"1358","Новобелая","Белгородский","49.7947","39.245439","ЦФО","АПП","0","2020","Число людей","установлен","да"
"1365","Норильск (Алыкель)","Мурманский","69.326404","87.348495","СФО","ВПП","0","2020","Число людей","установлен","нет"
"1369","Олочи","Читинский","51.336732","119.873112","ДФО","АПП","0","2020","Число людей","установлен","да"
"1385","Пашково","Хабаровский","48.884618","130.656092","ДФО","СПП","0","2020","Число людей","установлен","нет"
"1386","Певек","Владивостокский","69.702388","170.259281","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1399","Покровка","Читинский","53.343378","121.535043","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1403","Поронайск","Владивостокский","49.227984","143.116655","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1404","Посинь","Псковский","56.341761","28.248432","СЗФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1410","Провидения Бухта","Владивостокский","64.384945","186.770517","ДФО","ВПП","0","2020","Число людей","установлен","да"
"1411","Псков","Псковский","57.814291","28.326674","СЗФО","РПП","0","2020","Число людей","установлен","нет"
"1414","Разъезд Карьер 122 км","Ростовский","48.6833","39.75","ЮФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1415","Разъезд Выстрел","Белгородский","50.008735","38.19259","ЦФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1420","Рыбачий","Калининградский","55.158399999142","20.85000000149","СЗФО","РПП","0","2020","Число людей","установлен","да"
"1421","Сабетта","Мурманский","71.279491","72.061412","УФО","ВПП","0","2020","Число людей","установлен","да"
"1428","Саранск","Волгоградский","54.14783","45.221158","ПФО","ВПП","0","2020","Число людей","установлен","нет"
"1436","Симферополь","Крымский","44.961745","34.082217","ЮФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1437","Скангали","Псковский","56.8999","27.743","СЗФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1438","Сковородино","Хабаровский","53.441899","123.967124","ДФО","СПП","0","2020","Число людей","установлен","да"
"1441","Советск (Русне, Юрбаркас)","Калининградский","55.084813","21.89674","СЗФО","РПП","0","2020","Число людей","установлен","нет"
"1449","Сторожинец","Псковский","58.574516","27.829775","СЗФО","ОПП","0","2020","Число людей","установлен","нет"
"1461","Тверь (Мигалово)","Центральный аппарат","56.829673","35.755184","ЦФО","ВПП","0","2020","Число людей","установлен","да"
"1464","Тёткино","Брянский","51.2789","34.285","ЦФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1465","Тёткино (Бояро-Лежачи)","Брянский","51.24417","34.298149","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1467","Титовка","Ростовский","48.995","39.7369","ЮФО","АПП","0","2020","Число людей","установлен","нет"
"1468","Тишанка","Белгородский","50.391387","37.467621","ЦФО","АПП","0","2020","Число людей","установлен","нет"
"1469","Тобольск (Ремезов)","Уральский","58.061721","68.330397","УФО","ВПП","0","2020","Число людей","установлен","нет"
"1479","Убур-Тохтор","Читинский","50.4167","113.8333","ДФО","АПП","0","2020","Число людей","установлен","нет"
"1481","Углегорск","Владивостокский","49.076574","142.033563","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1488","Ушаково","Хабаровский","51.883","126.5631","ДФО","СПП","0","2020","Число людей","установлен","нет"
"1489","Уэлен","Владивостокский","66.157446","190.19614","ДФО","МПП","0","2020","Число людей","установлен","нет"
"1503","Черняховск","Калининградский","54.629537","21.817797","СЗФО","ЖДПП","0","2020","Число людей","установлен","да"
"1505","Чертково","Ростовский","49.37829","40.145063","ЮФО","ЖДПП","0","2020","Число людей","установлен","нет"
"1512","Элиста","Волгоградский","46.369372","44.330585","ЮФО","ВПП","0","2020","Число людей","установлен","да"
"1520","Абагайтуй","Читинский","49.5833","117.8167","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1525","Айнек-Гол","Читинский","50.3678","103.279","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1527","Александровск-Сахалинский","Владивостокский","50.894461","142.146687","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1528","Алтан","Читинский","49.8833","109.0667","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1529","Амурзет","Хабаровский","47.690284","131.073245","ДФО","СПП","0","2021","Число людей","установлен","да"
"1535","Армянск","Крымский","46.115953","33.702811","ЮФО","ЖДПП","0","2021","Число людей","установлен","да"
"1538","Аспайты","Новосибирский","50.3099","90.0221","СФО","АПП","0","2021","Число людей","установлен","нет"
"1542","Багратионовск","Калининградский","54.3927","20.6475","СЗФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1544","Безымено","Белгородский","50.368527","35.756453","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1545","Белая Березка","Брянский","52.3835","33.4804","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1551","Благовещенск-1","Хабаровский","50.252764","127.547584","ДФО","ППП","0","2021","Число людей","установлен","нет"
"1553","Большой Уссурийский","Хабаровский","48.347254","134.768252","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1561","Брянск-Орловский","Брянский","53.262436","34.405696","ЦФО","ЖДПП","0","2021","Число людей","установлен","да"
"1562","Бугаевка","Белгородский","49.609088","39.713156","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1565","Бускульский","Уральский","53.796262","61.157583","УФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1567","Валуйки","Белгородский","50.078024","38.176687","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1570","Варандей","Мурманский","68.800279","57.984684","СЗФО","МПП","0","2021","Число людей","установлен","да"
"1571","Вергелевка","Белгородский","50.3108","36.5807","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1572","Вериговка","Белгородский","50.197641","37.638937","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1575","Верхний Ульхун","Читинский","49.5112","112.602049","ДФО","АПП","0","2021","Число людей","установлен","да"
"1583","Волошино","Ростовский","48.905176","39.918452","ЮФО","АПП","0","2021","Число людей","установлен","да"
"1585","Воскресенское","Уральский","54.646153","65.803555","УФО","АПП","0","2021","Число людей","установлен","да"
"1592","Гарах","Северо-Кавказский","41.490063","48.064536","СКФО","АПП","0","2021","Число людей","установлен","да"
"1593","Гартмашевка","Белгородский","49.6034","39.9757","ЦФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1594","Геленджик","Сочинский","44.593701","38.025046","ЮФО","ВПП","0","2021","Число людей","установлен","нет"
"1595","Геленджик","Сочинский","44.578298","38.022025","ЮФО","МПП","0","2021","Число людей","установлен","нет"
"1596","Глушково","Брянский","51.286303","34.731497","ЦФО","ЖДПП","0","2021","Число людей","установлен","да"
"1597","Головчино","Белгородский","50.4348","35.8312","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1598","Головчино","Белгородский","50.511166","35.825004","ЦФО","ЖДПП","0","2021","Число людей","установлен","да"
"1599","Горняк","Новосибирский","50.972275","81.420538","СФО","АПП","0","2021","Число людей","установлен","да"
"1600","Грайворон","Белгородский","50.43093","35.591033","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1604","Гусев","Калининградский","54.343023","22.298854","СЗФО","АПП","0","2021","Число людей","установлен","да"
"1607","Джалинда","Хабаровский","53.482007","123.888834","ДФО","СПП","0","2021","Число людей","установлен","нет"
"1609","Джанкой","Крымский","45.709549","34.387751","ЮФО","ЖДПП","0","2021","Число людей","установлен","да"
"1610","Диксон","Мурманский","73.505283051196","80.50357517791","СФО","МПП","0","2021","Число людей","установлен","нет"
"1611","Долбино","Белгородский","50.7621","35.5521","ЦФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1613","Донецк (Северный)","Ростовский","48.34025","39.920856","ЮФО","АПП","0","2021","Число людей","установлен","нет"
"1614","Дубки","Калининградский","55.066608","21.952485","СЗФО","АПП","0","2021","Число людей","установлен","да"
"1616","Евпатория","Крымский","45.190034","33.373883","ЮФО","МПП","0","2021","Число людей","установлен","да"
"1619","Железнодорожный","Калининградский","54.356622","21.323472","СЗФО","АПП","0","2021","Число людей","установлен","нет"
"1621","Желтура","Читинский","50.4742","105.1031","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1628","Зерново","Брянский","52.192193","34.058658","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1632","Иваново (Южный)","Центральный аппарат","56.942225012197","40.9305055","ЦФО","ВПП","0","2021","Число людей","установлен","нет"
"1633","Ижевск","Волгоградский","55","55","ПФО","ВПП","0","2021","Число людей","установлен","нет"
"1635","Илек-Пеньковка","Белгородский","50.751077","35.539322","ЦФО","ЖДПП","0","2021","Число людей","установлен","да"
"1643","Казанское","Уральский","55.393328","69.338667","УФО","АПП","0","2021","Число людей","установлен","да"
"1650","Кани-Курган","Хабаровский","50.197449","127.641475","ДФО","АПП","0","2021","Число людей","установлен","да"
"1654","Кварцитный","Уральский","54.025807686913","61.745855156128","УФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1657","Клименки","Белгородский","50.0551","38.3698","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1658","Колотиловка","Белгородский","50.813564","35.415016","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1659","Комсомольский","Уральский","51.576089","60.615823","ПФО","АПП","0","2021","Число людей","установлен","да"
"1660","Константиновка","Хабаровский","49.6167","127.9833","ДФО","СПП","0","2021","Число людей","установлен","нет"
"1662","Крабозаводский","Владивостокский","43.8262","146.7486","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1666","Крупец","Брянский","51.647524","34.137715","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1668","Крылово","Калининградский","54.3275","21.5533","СЗФО","АПП","0","2021","Число людей","установлен","нет"
"1670","Куйбышево (Дьяково)","Ростовский","47.829234","39.121442","ЮФО","АПП","0","2021","Число людей","установлен","нет"
"1675","Курган","Уральский","55.462743","65.411209","УФО","ВПП","0","2021","Число людей","установлен","нет"
"1677","Кызыл","Новосибирский","51.676179021731","94.405016160833","СФО","ВПП","0","2021","Число людей","установлен","нет"
"1679","Лаврентия","Владивостокский","65.587303","189.001955","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1680","Левашово","Санкт-Петербургский","60.090118","30.19562","СЗФО","ВПП","0","2021","Число людей","установлен","нет"
"1681","Лесозаводск","Владивостокский","45.454651203762","133.37783813476","ДФО","СПП","0","2021","Число людей","установлен","нет"
"1683","Логачевка","Белгородский","49.999964","37.951784","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1685","Локоть","Брянский","51.675","34.2175","ЦФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1686","Ломаковка","Брянский","52.295003","32.647313","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1693","Магас","Северо-Кавказский","43.319877092768","45.012048912086","СКФО","ВПП","0","2021","Число людей","установлен","нет"
"1696","Малиновое Озеро","Новосибирский","51.595588","79.437002","СФО","АПП","0","2021","Число людей","установлен","да"
"1699","Мамоново (Гроново)","Калининградский","54.439183","19.901304","СЗФО","АПП","0","2021","Число людей","установлен","да"
"1701","Марково","Владивостокский","45.550477","133.321171","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1702","Марцево","Ростовский","47.263000000268","38.883600000292","ЮФО","ЖДПП","0","2021","Число людей","установлен","да"
"1710","Можаевка","Ростовский","48.759866","39.737029","ЮФО","АПП","0","2021","Число людей","установлен","нет"
"1712","Морское","Калининградский","55.278507","20.963083","СЗФО","АПП","0","2021","Число людей","установлен","да"
"1717","Мугур-Аксы","Новосибирский","50.35","90.5","СФО","АПП","0","2021","Число людей","установлен","нет"
"1721","Нарьян-Мар","Мурманский","67.647187","53.002155","СЗФО","МПП","0","2021","Число людей","установлен","нет"
"1727","Нежеголь","Белгородский","50.372308","36.850314","ЦФО","ЖДПП","0","2021","Число людей","установлен","да"
"1732","Нижнеленинское","Хабаровский","47.975056","132.671355","ДФО","ЖДПП","0","2021","Число людей","установлен","да"
"1733","Нижнеленинское","Хабаровский","47.961278","132.669774","ДФО","СПП","0","2021","Число людей","установлен","да"
"1738","Новобелая","Белгородский","49.7947","39.245439","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1745","Норильск (Алыкель)","Мурманский","69.326404","87.348495","СФО","ВПП","0","2021","Число людей","установлен","нет"
"1749","Олочи","Читинский","51.336732","119.873112","ДФО","АПП","0","2021","Число людей","установлен","да"
"1763","Павловка (Славгород)","Новосибирский","52.924229","78.268375","СФО","АПП","0","2021","Число людей","установлен","да"
"1765","Пашково","Хабаровский","48.884618","130.656092","ДФО","СПП","0","2021","Число людей","установлен","нет"
"1766","Певек","Владивостокский","69.702388","170.259281","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1775","Погар","Брянский","52.369862","33.243985","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1776","Пограничный","Калининградский","55.059774","22.590262","СЗФО","АПП","0","2021","Число людей","установлен","да"
"1779","Покровка","Читинский","53.343378","121.535043","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1780","Покровка","Хабаровский","46.723319","134.02228","ДФО","СПП","0","2021","Число людей","установлен","да"
"1782","Полынный","Волгоградский","48.953911","46.789453","ЮФО","АПП","0","2021","Число людей","установлен","да"
"1783","Поронайск","Владивостокский","49.227984","143.116655","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1784","Посинь","Псковский","56.341761","28.248432","СЗФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1790","Провидения Бухта","Владивостокский","64.384945","186.770517","ДФО","ВПП","0","2021","Число людей","установлен","да"
"1791","Псков","Псковский","57.814291","28.326674","СЗФО","РПП","0","2021","Число людей","установлен","нет"
"1794","Разъезд Карьер 122 км","Ростовский","48.6833","39.75","ЮФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1795","Разъезд Выстрел","Белгородский","50.008735","38.19259","ЦФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1796","Ровеньки","Белгородский","49.806705","38.959084","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1800","Рыбачий","Калининградский","55.158399999142","20.85000000149","СЗФО","РПП","0","2021","Число людей","установлен","да"
"1801","Сабетта","Мурманский","71.279491","72.061412","УФО","ВПП","0","2021","Число людей","установлен","да"
"1808","Саранск","Волгоградский","54.14783","45.221158","ПФО","ВПП","0","2021","Число людей","установлен","нет"
"1810","Светлый","Уральский","50.710306","61.02061","ПФО","АПП","0","2021","Число людей","установлен","да"
"1815","Симферополь","Крымский","45.019546","33.997492","ЮФО","ВПП","0","2021","Число людей","установлен","да"
"1816","Симферополь","Крымский","44.961745","34.082217","ЮФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1817","Скангали","Псковский","56.8999","27.743","СЗФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1818","Сковородино","Хабаровский","53.441899","123.967124","ДФО","СПП","0","2021","Число людей","установлен","да"
"1821","Советск (Русне, Юрбаркас)","Калининградский","55.084813","21.89674","СЗФО","РПП","0","2021","Число людей","установлен","нет"
"1823","Соловьевск","Читинский","49.886726","115.713356","ДФО","АПП","0","2021","Число людей","установлен","да"
"1828","Староцурухайтуйский","Читинский","50.199642","119.337367","ДФО","АПП","0","2021","Число людей","установлен","да"
"1829","Сторожинец","Псковский","58.574516","27.829775","СЗФО","ОПП","0","2021","Число людей","установлен","нет"
"1838","Тагиркент-Казмаляр","Северо-Кавказский","41.787765","48.54852","СКФО","АПП","0","2021","Число людей","установлен","да"
"1841","Тверь (Мигалово)","Центральный аппарат","56.829673","35.755184","ЦФО","ВПП","0","2021","Число людей","установлен","да"
"1843","Теплое","Уральский","51.504733","51.543277","ПФО","АПП","0","2021","Число людей","установлен","да"
"1844","Тёткино","Брянский","51.2789","34.285","ЦФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1845","Тёткино (Бояро-Лежачи)","Брянский","51.24417","34.298149","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1846","Тёткино (Рыжевка)","Брянский","51.24413","34.298117","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1847","Титовка","Ростовский","48.995","39.7369","ЮФО","АПП","0","2021","Число людей","установлен","нет"
"1848","Тишанка","Белгородский","50.391387","37.467621","ЦФО","АПП","0","2021","Число людей","установлен","нет"
"1849","Тобольск (Ремезов)","Уральский","58.061721","68.330397","УФО","ВПП","0","2021","Число людей","установлен","нет"
"1851","Топольное","Новосибирский","50.918237","80.103876","СФО","АПП","0","2021","Число людей","установлен","да"
"1859","Убур-Тохтор","Читинский","50.4167","113.8333","ДФО","АПП","0","2021","Число людей","установлен","нет"
"1861","Углегорск","Владивостокский","49.076574","142.033563","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1868","Ушаково","Хабаровский","51.883","126.5631","ДФО","СПП","0","2021","Число людей","установлен","нет"
"1869","Уэлен","Владивостокский","66.157446","190.19614","ДФО","МПП","0","2021","Число людей","установлен","нет"
"1874","Ханты-Мансийск","Уральский","61.026293","69.096166","УФО","ВПП","0","2021","Число людей","установлен","да"
"1877","Цаган-Толгой","Новосибирский","49.957094","95.62729","СФО","АПП","0","2021","Число людей","установлен","да"
"1878","Чебоксары","Волгоградский","56.132199998945","47.251899998635","ПФО","ВПП","0","2021","Число людей","установлен","да"
"1883","Черняховск","Калининградский","54.629537","21.817797","СЗФО","ЖДПП","0","2021","Число людей","установлен","да"
"1885","Чертково","Ростовский","49.37829","40.145063","ЮФО","ЖДПП","0","2021","Число людей","установлен","нет"
"1888","Шара-Сур","Новосибирский","50.515325","94.337233","СФО","АПП","0","2021","Число людей","установлен","да"
"1890","Шебекино","Белгородский","50.352158","36.922684","ЦФО","АПП","0","2021","Число людей","установлен","да"
"1892","Элиста","Волгоградский","46.369372","44.330585","ЮФО","ВПП","0","2021","Число людей","установлен","да"
"1900","Абагайтуй","Читинский","49.5833","117.8167","ДФО","АПП","0","2022","Число людей","установлен","нет"
"1905","Айнек-Гол","Читинский","50.3678","103.279","ДФО","АПП","0","2022","Число людей","установлен","нет"
"1907","Александровск-Сахалинский","Владивостокский","50.894461","142.146687","ДФО","МПП","0","2022","Число людей","установлен","нет"
"1908","Алтан","Читинский","49.8833","109.0667","ДФО","АПП","0","2022","Число людей","установлен","нет"
"1918","Аспайты","Новосибирский","50.3099","90.0221","СФО","АПП","0","2022","Число людей","установлен","нет"
"1922","Багратионовск","Калининградский","54.3927","20.6475","СЗФО","ЖДПП","0","2022","Число людей","установлен","нет"
"1924","Безымено","Белгородский","50.368527","35.756453","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"1925","Белая Березка","Брянский","52.3835","33.4804","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"1931","Благовещенск-1","Хабаровский","50.252764","127.547584","ДФО","ППП","0","2022","Число людей","установлен","нет"
"1933","Большой Уссурийский","Хабаровский","48.347254","134.768252","ДФО","АПП","0","2022","Число людей","установлен","нет"
"1935","Братск","Читинский","56.365225","101.702708","СФО","ВПП","0","2022","Число людей","установлен","да"
"1941","Брянск-Орловский","Брянский","53.262436","34.405696","ЦФО","ЖДПП","0","2022","Число людей","установлен","да"
"1945","Бускульский","Уральский","53.796262","61.157583","УФО","ЖДПП","0","2022","Число людей","установлен","нет"
"1950","Варандей","Мурманский","68.800279","57.984684","СЗФО","МПП","0","2022","Число людей","установлен","да"
"1951","Вергелевка","Белгородский","50.3108","36.5807","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"1973","Гартмашевка","Белгородский","49.6034","39.9757","ЦФО","ЖДПП","0","2022","Число людей","установлен","нет"
"1974","Геленджик","Сочинский","44.593701","38.025046","ЮФО","ВПП","0","2022","Число людей","установлен","нет"
"1975","Геленджик","Сочинский","44.578298","38.022025","ЮФО","МПП","0","2022","Число людей","установлен","нет"
"1976","Глушково","Брянский","51.286303","34.731497","ЦФО","ЖДПП","0","2022","Число людей","установлен","да"
"1977","Головчино","Белгородский","50.4348","35.8312","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"1978","Головчино","Белгородский","50.511166","35.825004","ЦФО","ЖДПП","0","2022","Число людей","установлен","да"
"1984","Гусев","Калининградский","54.343023","22.298854","СЗФО","АПП","0","2022","Число людей","установлен","да"
"1987","Джалинда","Хабаровский","53.482007","123.888834","ДФО","СПП","0","2022","Число людей","установлен","нет"
"1990","Диксон","Мурманский","73.505283051196","80.50357517791","СФО","МПП","0","2022","Число людей","установлен","нет"
"1991","Долбино","Белгородский","50.7621","35.5521","ЦФО","ЖДПП","0","2022","Число людей","установлен","нет"
"1993","Донецк (Северный)","Ростовский","48.34025","39.920856","ЮФО","АПП","0","2022","Число людей","установлен","нет"
"1994","Дубки","Калининградский","55.066608","21.952485","СЗФО","АПП","0","2022","Число людей","установлен","да"
"1996","Евпатория","Крымский","45.190034","33.373883","ЮФО","МПП","0","2022","Число людей","установлен","да"
"1999","Железнодорожный","Калининградский","54.356622","21.323472","СЗФО","АПП","0","2022","Число людей","установлен","нет"
"2001","Желтура","Читинский","50.4742","105.1031","ДФО","АПП","0","2022","Число людей","установлен","нет"
"2008","Зерново","Брянский","52.192193","34.058658","ЦФО","АПП","0","2022","Число людей","установлен","нет"
"2012","Иваново (Южный)","Центральный аппарат","56.942225012197","40.9305055","ЦФО","ВПП","0","2022","Число людей","установлен","нет"
