,Наименование_пункта_пропуска,Филиал,latitude,longitude,Федеральный_округ,Вид,Количество,Год,Категория,Установлен___закрыт,Функционирует_не_функционирует,Сопредельное_государство,ANN,Распределение
176,Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2022,Число людей,установлен,нет,Монголия,1.1012279987335205,Случайное
177,Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,261046,2022,Число людей,установлен,да,Латвийская Республика,1.4850120544433594,Рассредоточенное
178,Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
179,Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,978,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
180,Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,92572,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
181,Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,138,2022,Число людей,установлен,да,Корейская Народно-Демократическая Республика,,
182,Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,4680,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
183,Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,992,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
184,Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,266493,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
185,Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,0,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
186,Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,423,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
187,Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,137062,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
188,Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,248105,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
189,Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,3130,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
190,Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,238059,2022,Число людей,установлен,да,Азербайджанская Республика,2.038360118865967,Рассредоточенное
