,Наименование_пункта_пропуска,Филиал,latitude,longitude,Федеральный_округ,Вид,Количество,Год,Категория,Установлен___закрыт,Функционирует_не_функционирует,Сопредельное_государство,ANN,Распределение
40,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,398,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
41,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,0,2022,Число людей,установлен,да,Республика Польша,1.893280029296875,Рассредоточенное
42,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,15432,2022,Число людей,установлен,да,Азербайджанская Республика,2.038360118865967,Рассредоточенное
43,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
44,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
45,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
46,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2022,Число людей,установлен,нет,Республика Польша,1.893280029296875,Рассредоточенное
47,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,1234,2022,Число людей,установлен,да,Республика Польша,1.893280029296875,Рассредоточенное
48,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2022,Число людей,установлен,нет,Монголия,1.1012279987335205,Случайное
49,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,99799,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
50,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,25467,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
51,Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,11765,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
52,Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,158687,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
53,Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
54,Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,1177688,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
55,Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,2911,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
56,Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,175616,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
57,Илек,Уральский,51.492998,53.382564,ПФО,АПП,293174,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
58,Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
59,"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,91919,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
60,Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,0,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
61,Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,11801,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
62,Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,714988,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
63,Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,189357,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
64,Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,46548,2022,Число людей,установлен,да,утратило значение (Украина),,
65,Казанское,Уральский,55.393328,69.338667,УФО,АПП,198598,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
66,Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,565,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
67,Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,15968,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
68,Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,18503,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
69,Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,507960,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
70,"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,34885,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
71,Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2022,Число людей,установлен,нет,Республика Казахстан,0.43701401352882385,Сгруппированное
72,Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,3358,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
73,Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,6898,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
74,Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
75,Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,31922,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
76,Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,58,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
77,Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,1245,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
78,Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2022,Число людей,установлен,нет,Республика Польша,1.893280029296875,Рассредоточенное
79,Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,10456,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
80,Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,374429,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
81,Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,182390,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
82,Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,396626,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
83,Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
84,Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,145018,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
85,Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,40016,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
86,Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
87,Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,77,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
88,Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,6202,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
89,Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,86795,2022,Число людей,установлен,да,Латвийская Республика,1.4850120544433594,Рассредоточенное
90,Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,81935,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
91,Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,1346,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
92,Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,5412,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
93,Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,4953,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
94,Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,3451,2022,Число людей,установлен,да,Республика Польша,1.893280029296875,Рассредоточенное
95,Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,318217,2022,Число людей,установлен,да,Республика Польша,1.893280029296875,Рассредоточенное
96,Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,0,2022,Число людей,установлен,да,Республика Польша,1.893280029296875,Рассредоточенное
97,Мариинский,Уральский,52.319569,61.001741,УФО,АПП,102046,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
98,Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
99,Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,4874,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
100,Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,1417674,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
101,Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,425070,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
102,Монды,Читинский,51.636004,100.860313,ДФО,АПП,32316,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
103,Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,0,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
104,Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2022,Число людей,установлен,нет,Монголия,1.1012279987335205,Случайное
105,Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,32432,2022,Число людей,установлен,да,Монголия,1.1012279987335205,Случайное
106,Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,4619,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
107,Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,36978,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
108,Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
109,Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,249775,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
110,Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,168381,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
111,Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,120,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
112,Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,250,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
113,Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,1008404,2022,Число людей,установлен,да,Республика Южная Осетия,,
114,Николаевка,Уральский,53.003526,62.129645,УФО,АПП,77968,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
115,Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,26654,2022,Число людей,установлен,да,Азербайджанская Республика,2.038360118865967,Рассредоточенное
116,Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,32096,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
117,Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,215968,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
118,Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,713228,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
119,Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,13925,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
120,Олочи,Читинский,51.336732,119.873112,ДФО,АПП,0,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
121,Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,435527,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
122,Орск,Уральский,51.084344,58.475364,ПФО,АПП,404789,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
123,Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,12737,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
124,Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,422680,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
125,Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,41918,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
126,Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
127,Петухово,Уральский,55.090975,68.242499,УФО,АПП,603187,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
128,Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,192310,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
129,Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,1994,2022,Число людей,установлен,да,Эстонская Республика,1.0380020141601562,Случайное
130,Погар,Брянский,52.369862,33.243985,ЦФО,АПП,25,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
131,Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,0,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
132,Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,45339,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
133,Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,18024,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
134,Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
135,Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,1844,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
136,Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,41759,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
137,Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,6983,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
138,Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2022,Число людей,установлен,нет,Латвийская Республика,1.4850120544433594,Рассредоточенное
139,Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,2596,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
140,Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2022,Число людей,установлен,нет,Эстонская Республика,1.0380020141601562,Случайное
141,Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,3530,2022,Число людей,установлен,да,Латвийская Республика,1.4850120544433594,Рассредоточенное
142,Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,0,2022,Число людей,установлен,да,Литовская Республика,0.9493319988250732,Случайное
143,Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,1023040,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
144,Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,11159,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
145,Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,32443,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
146,Светлый,Уральский,50.710306,61.02061,ПФО,АПП,9471,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
