,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
289,49.632878,117.373814,Забайкальск,ДФО,АПП,59803.0,2019,Паспорта транспортных средств,Читинский,установлен,да,Китайская Народная Республика,58400.0,1.02
290,59.376896,28.211033,Ивангород,СЗФО,АПП,31076.0,2019,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900.0,1.42
293,50.338847,36.28717,Нехотеевка,ЦФО,АПП,28103.0,2019,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280.0,1.07
294,43.397314,40.002072,Адлер,ЮФО,АПП,52266.0,2020,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,1.43
298,43.397314,40.002072,Адлер,ЮФО,АПП,103181.0,2021,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.83
299,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,1131.0,2021,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,1095.0,1.03
304,43.397314,40.002072,Адлер,ЮФО,АПП,82102.0,2022,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.25
305,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,1118.0,2022,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,1095.0,1.02
306,42.768431,44.631185,Верхний Ларс,СКФО,АПП,13817.0,2022,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.26
316,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,4977882.0,2017,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.22
317,51.647524,34.137715,Крупец,ЦФО,АПП,607357.0,2017,Грузы в тоннах,Брянский,установлен,да,Украина,365000.0,1.66
327,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,5075087.0,2018,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.24
328,51.647524,34.137715,Крупец,ЦФО,АПП,450216.0,2018,Грузы в тоннах,Брянский,установлен,да,Украина,365000.0,1.23
338,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,6197916.0,2019,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.52
351,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,6365192.0,2020,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.56
364,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,5705163.0,2021,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.4
384,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,677365.0,2022,Грузы в тоннах,Северо-Кавказский,установлен,да,Азербайджанская Республика,182500.0,3.71
