,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
205,50.982706,81.519878,Неверовская,СФО,ЖДПП,9446.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
206,53.7267000004649,73.8075000010431,Невольное,СФО,АПП,67070.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
207,50.372308,36.850314,Нежеголь,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,да,Украина
208,54.636192,22.73258,Нестеров,СЗФО,ЖДПП,498170.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
209,50.338847,36.28717,Нехотеевка,ЦФО,АПП,4049222.0,2017,Число людей,Белгородский,установлен,да,Украина
212,47.975056,132.671355,Нижнеленинское,ДФО,ЖДПП,0.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
213,47.961278,132.669774,Нижнеленинское,ДФО,СПП,47643.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
214,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,1178388.0,2017,Число людей,Северо-Кавказский,установлен,да,Республика Южная Осетия
216,53.003526,62.129645,Николаевка,УФО,АПП,124949.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
222,41.708056,48.473279,Ново-Филя,СКФО,АПП,475785.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
224,52.116365,31.811135,Новые Юрковичи,ЦФО,АПП,647498.0,2017,Число людей,Брянский,установлен,да,Украина
226,54.159304,72.792108,Одесское,СФО,АПП,453645.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
227,51.216321,49.880509,Озинки,ПФО,АПП,1394660.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
228,51.194203,49.73407,Озинки,ПФО,ЖДПП,115882.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
229,51.336732,119.873112,Олочи,ДФО,АПП,2952.0,2017,Число людей,Читинский,установлен,да,Китайская Народная Республика
231,53.796579,75.051943,Ольховка,СФО,АПП,621288.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
237,51.084344,58.475364,Орск,ПФО,АПП,433818.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
239,51.086122,58.464716,Орск,ПФО,ЖДПП,18579.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
242,53.401993,77.709242,Павловка,СФО,АПП,504182.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
243,52.924229,78.268375,Павловка (Славгород),СФО,АПП,80039.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
245,48.884618,130.656092,Пашково,ДФО,СПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
252,55.090975,68.242499,Петухово,УФО,АПП,816415.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
253,55.070614,67.887333,Петухово,УФО,ЖДПП,464675.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
254,57.8357999995351,27.625300001353,Печоры-Псковские,СЗФО,ЖДПП,4442.0,2017,Число людей,Псковский,установлен,да,Эстонская Республика
255,52.369862,33.243985,Погар,ЦФО,АПП,201487.0,2017,Число людей,Брянский,установлен,да,Украина
256,55.059774,22.590262,Пограничный,СЗФО,АПП,37062.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
257,44.39917,131.259668,Пограничный,ДФО,АПП,893259.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
258,44.40663,131.37327,Пограничный,ДФО,ЖДПП,172766.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
259,53.343378,121.535043,Покровка,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Китайская Народная Республика
260,46.723319,134.02228,Покровка,ДФО,СПП,27067.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
261,44.018064,131.252823,Полтавка,ДФО,АПП,260288.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
262,48.953911,46.789453,Полынный,ЮФО,АПП,20218.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
264,56.341761,28.248432,Посинь,СЗФО,ЖДПП,0.0,2017,Число людей,Псковский,установлен,нет,Латвийская Республика
266,49.614111,128.680416,Поярково,ДФО,СПП,3513.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
271,57.814291,28.326674,Псков,СЗФО,РПП,0.0,2017,Число людей,Псковский,установлен,нет,Эстонская Республика
273,57.0645000003278,27.9111000001431,Пыталово,СЗФО,ЖДПП,7775.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика
280,55.1583999991417,20.8500000014901,Рыбачий,СЗФО,РПП,6.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
283,50.857938,56.142094,Сагарчин,ПФО,АПП,1215430.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
284,66.944902,29.038847,Салла,СЗФО,АПП,133989.0,2017,Число людей,Мурманский,установлен,да,Финляндская Республика
286,59.955817,30.356343,Санкт-Петербург-Финляндский,СЗФО,ЖДПП,485363.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
290,50.710306,61.02061,Светлый,ПФО,АПП,30636.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
291,61.123856,28.841682,Светогорск,СЗФО,АПП,1558466.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
292,61.118075,28.845818,Светогорск,СЗФО,ЖДПП,5296.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
293,56.3053999990225,28.4697999991477,Себеж,СЗФО,ЖДПП,172886.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика
297,56.8999,27.743,Скангали,СЗФО,ЖДПП,0.0,2017,Число людей,Псковский,установлен,нет,Латвийская Республика
298,53.441899,123.967124,Сковородино,ДФО,СПП,84.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
299,55.082342,21.903888,Советск,СЗФО,АПП,518543.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
300,55.082342,21.879756,Советск,СЗФО,ЖДПП,1510.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
301,55.084813,21.89674,"Советск (Русне, Юрбаркас)",СЗФО,РПП,0.0,2017,Число людей,Калининградский,установлен,нет,Литовская Республика
303,49.886726,115.713356,Соловьевск,ДФО,АПП,10063.0,2017,Число людей,Читинский,установлен,да,Монголия
304,49.8947,115.7575,Соловьевск,ДФО,ЖДПП,868.0,2017,Число людей,Читинский,установлен,да,Монголия
308,50.199642,119.337367,Староцурухайтуйский,ДФО,АПП,17814.0,2017,Число людей,Читинский,установлен,да,Китайская Народная Республика
309,58.574516,27.829775,Сторожинец,СЗФО,ОПП,0.0,2017,Число людей,Псковский,установлен,нет,Эстонская Республика
310,51.172627,35.139334,Суджа,ЦФО,АПП,373339.0,2017,Число людей,Брянский,установлен,да,Украина
311,52.318371,34.073437,Суземка,ЦФО,ЖДПП,992105.0,2017,Число людей,Брянский,установлен,да,Украина
312,65.798791,30.109591,Суоперя,СЗФО,АПП,58624.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
315,61.501999,29.61031,Сювяоро,СЗФО,АПП,23349.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
318,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,549064.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
320,49.643629,89.44195,Ташанта,СФО,АПП,94597.0,2017,Число людей,Новосибирский,установлен,да,Монголия
323,51.504733,51.543277,Теплое,ПФО,АПП,274850.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
324,51.2789,34.285,Тёткино,ЦФО,ЖДПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина
325,51.24417,34.298149,Тёткино (Бояро-Лежачи),ЦФО,АПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина
326,51.24413,34.298117,Тёткино (Рыжевка),ЦФО,АПП,214657.0,2017,Число людей,Брянский,установлен,да,Украина
328,50.391387,37.467621,Тишанка,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина
331,50.918237,80.103876,Топольное,СФО,АПП,21952.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
332,60.596099,27.913096,Торфяновка,СЗФО,АПП,2469696.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
333,50.866700001061,81.895300000906,Третьяково,СФО,ЖДПП,70539.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
334,51.881005,34.337551,Троебортное,ЦФО,АПП,1568530.0,2017,Число людей,Брянский,установлен,да,Украина
335,54.1130000017583,61.5698999986053,"Троицк (Кайрак, Магнай)",УФО,ЖДПП,95506.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
337,45.262249,131.978153,Турий Рог,ДФО,АПП,208794.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика
339,50.4167,113.8333,Убур-Тохтор,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Монголия
340,56.87317,27.833766,Убылинка,СЗФО,АПП,254532.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика
348,51.883,126.5631,Ушаково,ДФО,СПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
351,48.468957,135.057972,Хабаровск,ДФО,РПП,121782.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
353,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,71336.0,2017,Число людей,Новосибирский,установлен,да,Монголия
355,42.430155,130.644336,Хасан,ДФО,ЖДПП,14408.0,2017,Число людей,Владивостокский,установлен,да,Корейская Народно-Демократическая Республика
357,49.957094,95.62729,Цаган-Толгой,СФО,АПП,15533.0,2017,Число людей,Новосибирский,установлен,да,Монголия
361,54.155114,74.804456,Черлак,СФО,РПП,796.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан
362,54.645721,22.736633,Чернышевское,СЗФО,АПП,515298.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
363,54.629537,21.817797,Черняховск,СЗФО,ЖДПП,8775.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика
368,50.515325,94.337233,Шара-Сур,СФО,АПП,6591.0,2017,Число людей,Новосибирский,установлен,да,Монголия
370,50.352158,36.922684,Шебекино,ЦФО,АПП,794017.0,2017,Число людей,Белгородский,установлен,да,Украина
371,57.644615,27.387415,Шумилкино,СЗФО,АПП,633619.0,2017,Число людей,Псковский,установлен,да,Эстонская Республика
373,49.130289,46.838265,Эльтон,ЮФО,ЖДПП,5617.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
378,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,1107002.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика
380,49.5833,117.8167,Абагайтуй,ДФО,АПП,0.0,2018,Число людей,Читинский,установлен,нет,Китайская Народная Республика
382,43.397314,40.002072,Адлер,ЮФО,АПП,10022500.0,2018,Число людей,Сочинский,установлен,да,Республика Абхазия
383,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,327887.0,2018,Число людей,Сочинский,установлен,да,Республика Абхазия
385,50.3678,103.279,Айнек-Гол,ДФО,АПП,0.0,2018,Число людей,Читинский,установлен,нет,Монголия
386,46.7337,48.0892,Аксарайский,ЮФО,ЖДПП,401587.0,2018,Число людей,Волгоградский,установлен,да,Республика Казахстан
388,49.8833,109.0667,Алтан,ДФО,АПП,0.0,2018,Число людей,Читинский,установлен,нет,Монголия
389,47.690284,131.073245,Амурзет,ДФО,СПП,18277.0,2018,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
398,50.3099,90.0221,Аспайты,СФО,АПП,0.0,2018,Число людей,Новосибирский,установлен,нет,Монголия
401,54.372517,20.659173,Багратионовск,СЗФО,АПП,907898.0,2018,Число людей,Калининградский,установлен,да,Республика Польша
402,54.3927,20.6475,Багратионовск,СЗФО,ЖДПП,0.0,2018,Число людей,Калининградский,установлен,нет,Республика Польша
404,50.368527,35.756453,Безымено,ЦФО,АПП,0.0,2018,Число людей,Белгородский,установлен,нет,Украина
405,52.3835,33.4804,Белая Березка,ЦФО,АПП,0.0,2018,Число людей,Брянский,установлен,нет,Украина
407,50.593234,36.605675,Белгород,ЦФО,ЖДПП,417948.0,2018,Число людей,Белгородский,установлен,да,Украина
410,50.249853,127.554133,Благовещенск,ДФО,СПП,884150.0,2018,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
411,50.252764,127.547584,Благовещенск-1,ДФО,ППП,0.0,2018,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
413,48.347254,134.768252,Большой Уссурийский,ДФО,АПП,0.0,2018,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
414,69.655681,30.203183,Борисоглебск,СЗФО,АПП,257666.0,2018,Число людей,Мурманский,установлен,да,Королевство Норвегия
416,57.538718,27.471549,Брунишево,СЗФО,АПП,49107.0,2018,Число людей,Псковский,установлен,да,Латвийская Республика
417,60.931202,28.560617,Брусничное,СЗФО,АПП,2719574.0,2018,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
418,60.810182,28.737329,Брусничное (Сайменский канал),СЗФО,МПП,10574.0,2018,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
420,53.213067,34.409548,Брянск-Льговский,ЦФО,ЖДПП,10681.0,2018,Число людей,Брянский,установлен,да,Украина
421,53.262436,34.405696,Брянск-Орловский,ЦФО,ЖДПП,765428.0,2018,Число людей,Брянский,установлен,да,Украина
423,54.006458,61.625926,Бугристое,УФО,АПП,1961888.0,2018,Число людей,Уральский,установлен,да,Республика Казахстан
424,56.356309,28.197336,Бурачки,СЗФО,АПП,600641.0,2018,Число людей,Псковский,установлен,да,Латвийская Республика
