,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
2544,Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Латвийская Республика
2546,Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2551,Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2017,Легковые транспортные средства,установлен,нет,Эстонская Республика
2553,Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Латвийская Республика
2560,Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,0,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2563,Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,228194,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2564,Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,75968,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2566,Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2570,Светлый,Уральский,50.710306,61.02061,ПФО,АПП,7647,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2571,Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,702634,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2572,Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2573,Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Латвийская Республика
2577,Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Латвийская Республика
2578,Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2579,Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,151204,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2580,Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2581,"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2017,Легковые транспортные средства,установлен,нет,Литовская Республика
2583,Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,2688,2017,Легковые транспортные средства,установлен,да,Монголия
2584,Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Монголия
2588,Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,2290,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2589,Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2017,Легковые транспортные средства,установлен,нет,Эстонская Республика
2590,Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,79858,2017,Легковые транспортные средства,установлен,да,Украина
2591,Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2592,Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,47672,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2595,Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,1822,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2598,Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,154334,2017,Легковые транспортные средства,установлен,да,Азербайджанская Республика
2600,Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,17847,2017,Легковые транспортные средства,установлен,да,Монголия
2603,Теплое,Уральский,51.504733,51.543277,ПФО,АПП,89806,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2604,Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2605,Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2606,Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,72672,2017,Легковые транспортные средства,установлен,да,Украина
2608,Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2611,Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,4694,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2612,Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,874626,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2613,Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2614,Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,214285,2017,Легковые транспортные средства,установлен,да,Украина
2615,"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2617,Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2619,Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Монголия
2620,Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,76591,2017,Легковые транспортные средства,установлен,да,Латвийская Республика
2628,Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2631,Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2633,Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,17390,2017,Легковые транспортные средства,установлен,да,Монголия
2635,Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Корейская Народно-Демократическая Республика
2637,Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,4025,2017,Легковые транспортные средства,установлен,да,Монголия
2641,Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2642,Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,160541,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2643,Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2648,Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,1416,2017,Легковые транспортные средства,установлен,да,Монголия
2650,Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,265343,2017,Легковые транспортные средства,установлен,да,Украина
2651,Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,198639,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
2653,Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2658,Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,215720,2017,Легковые транспортные средства,установлен,да,Азербайджанская Республика
2660,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2018,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2662,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,1916149,2018,Легковые транспортные средства,установлен,да,Республика Абхазия
2663,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,0,2018,Легковые транспортные средства,установлен,да,Республика Абхазия
2665,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2018,Легковые транспортные средства,установлен,нет,Монголия
2666,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,0,2018,Легковые транспортные средства,установлен,да,Республика Казахстан
2668,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2018,Легковые транспортные средства,установлен,нет,Монголия
2669,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,0,2018,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2678,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2018,Легковые транспортные средства,установлен,нет,Монголия
2681,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,582412,2018,Легковые транспортные средства,установлен,да,Республика Польша
