,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
56,Весело-Вознесенка,Ростовский,47.1616,38.242846,ЮФО,АПП,644760,2017,Число людей,установлен,да,2452800
57,Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,475134,2017,Число людей,установлен,да,700800
58,Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,131497,2017,Число людей,установлен,да,0
59,Владивосток,Владивостокский,43.105749,131.877652,ДФО,МПП,164402,2017,Число людей,установлен,да,0
60,Владивосток (Кневичи),Владивостокский,43.396247,132.165299,ДФО,ВПП,828281,2017,Число людей,установлен,да,3854400
61,Владикавказ (Беслан),Северо-Кавказский,43.201899,44.60439,СКФО,ВПП,7266,2017,Число людей,установлен,да,0
62,Волгоград (Гумрак),Волгоградский,48.791462,44.353793,ЮФО,ВПП,104336,2017,Число людей,установлен,да,2628000
63,Волошино,Ростовский,48.905176,39.918452,ЮФО,АПП,0,2017,Число людей,установлен,да,0
64,Воронеж (Чертовицкое),Белгородский,51.81262,39.225338,ЦФО,ВПП,154132,2017,Число людей,установлен,да,1401600
65,Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,197026,2017,Число людей,установлен,да,0
66,Восточный,Владивостокский,42.727218,133.080673,ДФО,МПП,70560,2017,Число людей,установлен,да,0
67,Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,100032,2017,Число людей,установлен,да,0
68,Выборг,Санкт-Петербургский,60.711728,28.729694,СЗФО,МПП,24909,2017,Число людей,установлен,да,0
69,Высоцк,Санкт-Петербургский,60.620042,28.563961,СЗФО,МПП,20349,2017,Число людей,установлен,да,0
70,Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,1237108,2017,Число людей,установлен,да,1496500
71,Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,2916,2017,Число людей,установлен,да,0
72,Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,31674,2017,Число людей,установлен,да,0
73,Гартмашевка,Белгородский,49.6034,39.9757,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,0
74,Геленджик,Сочинский,44.593701,38.025046,ЮФО,ВПП,67,2017,Число людей,установлен,нет,0
75,Геленджик,Сочинский,44.578298,38.022025,ЮФО,МПП,4530,2017,Число людей,установлен,нет,0
76,Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0
77,Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2017,Число людей,установлен,нет,0
78,Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0
79,Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,220413,2017,Число людей,установлен,да,350400
80,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,201751,2017,Число людей,установлен,да,1076750
81,Грозный (Северный),Северо-Кавказский,43.384606,45.699198,СКФО,ВПП,79432,2017,Число людей,установлен,да,1226400
82,Гуково,Ростовский,48.061967,39.843771,ЮФО,АПП,1211260,2017,Число людей,установлен,да,0
83,Гуково,Ростовский,48.048718,39.939344,ЮФО,ЖДПП,4480,2017,Число людей,установлен,да,0
84,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,601320,2017,Число людей,установлен,да,0
85,Де-Кастри,Хабаровский,51.468998,140.774103,ДФО,МПП,5985,2017,Число людей,установлен,да,0
86,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,117636,2017,Число людей,установлен,да,0
87,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2017,Число людей,установлен,нет,0
88,Джанкой,Крымский,45.976242,34.571801,ЮФО,АПП,1400747,2017,Число людей,установлен,да,1825000
