,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
3566,Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,3395,2020,Легковые транспортные средства,установлен,да,138700
3567,Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0
3568,Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3569,Кубинка,Центральный аппарат,55.608359,36.630973,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3570,Куйбышево (Дьяково),Ростовский,47.829234,39.121442,ЮФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3571,Куйбышево (Мариновка),Ростовский,47.857207,38.858523,ЮФО,АПП,162761,2020,Легковые транспортные средства,установлен,да,109500
3572,Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3573,Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,16088,2020,Легковые транспортные средства,установлен,да,0
3574,Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,25859,2020,Легковые транспортные средства,установлен,да,120450
3575,Курган,Уральский,55.462743,65.411209,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3576,Курск,Брянский,51.748961,36.28221,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3577,Кызыл,Новосибирский,51.6761790217312,94.4050161608327,СФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3578,Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,24551,2020,Легковые транспортные средства,установлен,да,219000
3579,Лаврентия,Владивостокский,65.587303,189.001955,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,нет,0
3580,Левашово,Санкт-Петербургский,60.090118,30.19562,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3581,Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,нет,0
3582,Липецк,Белгородский,52.698093,39.524867,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3583,Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,8745,2020,Легковые транспортные средства,установлен,да,0
3584,Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3585,Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3586,Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,1287,2020,Легковые транспортные средства,установлен,да,0
3587,Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,5591,2020,Легковые транспортные средства,установлен,да,49275
3588,Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,16582,2020,Легковые транспортные средства,установлен,да,138700
3589,Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,41777,2020,Легковые транспортные средства,установлен,да,80300
3590,Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3591,Магадан,Владивостокский,59.564593,150.727889,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3592,Магадан (Сокол),Владивостокский,59.914596,150.731891,ДФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3593,Магас,Северо-Кавказский,43.3198770927679,45.012048912086,СКФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3594,Магнитогорск,Уральский,53.389447,58.760733,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3595,Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3596,Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,435,2020,Легковые транспортные средства,установлен,да,0
3597,Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3598,Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,116246,2020,Легковые транспортные средства,установлен,да,949000
3599,Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,70747,2020,Легковые транспортные средства,установлен,да,164250
3600,Мариинский,Уральский,52.319569,61.001741,УФО,АПП,10104,2020,Легковые транспортные средства,установлен,да,0
3601,Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3602,Марцево,Ростовский,47.2630000002682,38.8836000002921,ЮФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3603,Матвеев Курган,Ростовский,47.697363,38.683999,ЮФО,АПП,226786,2020,Легковые транспортные средства,установлен,да,284700
3604,Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3605,Махачкала,Северо-Кавказский,42.987707,47.508277,СКФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3606,Махачкала (Уйташ),Северо-Кавказский,42.820784,47.655825,СКФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3607,Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,134430,2020,Легковые транспортные средства,установлен,да,0
3608,Минеральные Воды,Ростовский,44.217512,43.087411,СКФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3609,Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,31647,2020,Легковые транспортные средства,установлен,да,0
3610,Можаевка,Ростовский,48.759866,39.737029,ЮФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3611,Монды,Читинский,51.636004,100.860313,ДФО,АПП,1265,2020,Легковые транспортные средства,установлен,да,0
3612,Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,14387,2020,Легковые транспортные средства,установлен,да,58400
3613,Москальво,Владивостокский,53.547806,142.516746,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3614,Москва (Внуково),Центральный аппарат,55.603563,37.282957,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3615,Москва (Домодедово),Центральный аппарат,55.413263,37.899571,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3616,Москва (Шереметьево),Центральный аппарат,55.966194,37.416206,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3617,Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3618,Мурманск,Мурманский,68.785334,32.757483,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3619,Мурманск,Мурманский,68.97922,33.068085,СЗФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3620,Нальчик,Северо-Кавказский,43.50836,43.635906,СКФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3621,Нарьян-Мар,Мурманский,67.647187,53.002155,СЗФО,МПП,0,2020,Легковые транспортные средства,установлен,нет,0
3622,Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3623,Находка,Владивостокский,42.808377,132.882515,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3624,Невельск,Владивостокский,46.676748,141.85372,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3625,Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3626,Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,3348,2020,Легковые транспортные средства,установлен,да,0
3627,Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3628,Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3629,Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,231716,2020,Легковые транспортные средства,установлен,да,700800
3630,Нижневартовск,Уральский,60.9506,76.493705,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3631,Нижнекамск (Бегишево),Волгоградский,55.564286,52.101209,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3632,Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3633,Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,да,0
3634,Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,190694,2020,Легковые транспортные средства,установлен,да,62050
3635,Нижний Новгород (Стригино),Волгоградский,56.218867,43.790918,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3636,Николаевка,Уральский,53.003526,62.129645,УФО,АПП,8005,2020,Легковые транспортные средства,установлен,да,0
3637,Николаевск-на-Амуре,Хабаровский,53.132536,140.721297,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3638,Новобелая,Белгородский,49.7947,39.245439,ЦФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0
3639,Новокузнецк (Спиченково),Новосибирский,53.806618,86.870822,СФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3640,Новороссийск,Сочинский,44.720898,37.782973,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3641,Новосибирск (Толмачево),Новосибирский,55.009439,82.66736,СФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3642,Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,0,2020,Легковые транспортные средства,установлен,да,12775
3643,Новошахтинск,Ростовский,47.84551,39.760708,ЮФО,АПП,181690,2020,Легковые транспортные средства,установлен,да,0
3644,Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,23373,2020,Легковые транспортные средства,установлен,да,167900
3645,Норильск (Алыкель),Мурманский,69.326404,87.348495,СФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3646,Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,19290,2020,Легковые транспортные средства,установлен,да,0
3647,Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,34059,2020,Легковые транспортные средства,установлен,да,0
3648,Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3649,Олочи,Читинский,51.336732,119.873112,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0
3650,Ольга,Владивостокский,43.729095,135.256376,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3651,Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,32350,2020,Легковые транспортные средства,установлен,да,0
3652,Оля,Волгоградский,45.784045,47.547579,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3653,Омск (Центральный),Новосибирский,55.08585,73.004372,СФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3654,Онега,Мурманский,63.902555,38.096453,СЗФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3655,Оренбург (Центральный),Уральский,51.7847,55.0986,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3656,Оренбург-2,Уральский,51.791509,55.458577,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3657,Орск,Уральский,51.084344,58.475364,ПФО,АПП,42619,2020,Легковые транспортные средства,установлен,да,0
3658,Орск,Уральский,51.076832,58.593305,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3659,Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3660,Остафьево,Центральный аппарат,55.502905,37.510583,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3661,Охотск,Хабаровский,59.350609,143.181925,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3662,Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,22116,2020,Легковые транспортные средства,установлен,да,0
3663,Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,2470,2020,Легковые транспортные средства,установлен,да,0
3664,Пассажирский порт Санкт-Петербург,Санкт-Петербургский,59.949253,30.194513,СЗФО,МПП,0,2020,Легковые транспортные средства,установлен,да,31755
3665,Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,нет,0
3666,Певек,Владивостокский,69.702388,170.259281,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,нет,0
3667,Перекоп,Крымский,46.215373,33.633651,ЮФО,АПП,9439,2020,Легковые транспортные средства,установлен,да,73000
3668,Пермь (Большое Савино),Уральский,57.919707,56.019552,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3669,Петрозаводск (Бесовец),Санкт-Петербургский,61.877346,34.155573,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3670,Петропавловск-Камчатский,Владивостокский,53.011834,158.648548,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3671,Петропавловск-Камчатский (Елизово),Владивостокский,53.169455,158.425596,ДФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3672,Петухово,Уральский,55.090975,68.242499,УФО,АПП,36014,2020,Легковые транспортные средства,установлен,да,292000
3673,Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3674,Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3675,Погар,Брянский,52.369862,33.243985,ЦФО,АПП,2642,2020,Легковые транспортные средства,установлен,да,102200
3676,Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,4173,2020,Легковые транспортные средства,установлен,да,0
3677,Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0
3678,Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3679,Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3680,Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,да,0
3681,Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0
3682,Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,759,2020,Легковые транспортные средства,установлен,да,0
3683,Поронайск,Владивостокский,49.227984,143.116655,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,нет,0
3684,Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3685,Посьет,Владивостокский,42.64852,130.807844,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3686,Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,да,0
3687,Пригородное,Владивостокский,46.624142,142.910997,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3688,Приморск,Санкт-Петербургский,60.335644,28.714162,СЗФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3689,Провидения,Владивостокский,64.419429,186.767839,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3690,Провидения Бухта,Владивостокский,64.384945,186.770517,ДФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3691,Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2020,Легковые транспортные средства,установлен,нет,0
3692,Псков (Кресты),Псковский,57.797501,28.39244,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3693,Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3694,Разъезд Карьер 122 км,Ростовский,48.6833,39.75,ЮФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3695,Разъезд Выстрел,Белгородский,50.008735,38.19259,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3696,Ровеньки,Белгородский,49.806705,38.959084,ЦФО,АПП,13943,2020,Легковые транспортные средства,установлен,да,160600
3697,Ростов (Центральный),Ростовский,47.276091,39.634112,ЮФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3698,Ростов-на-Дону,Ростовский,47.208877,39.705847,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3699,Ростов-на-Дону (Платов),Ростовский,47.488342,39.929081,ЮФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3700,Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,0,2020,Легковые транспортные средства,установлен,да,0
3701,Сабетта,Мурманский,71.279491,72.061412,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3702,Сабетта,Мурманский,71.219395,72.047648,УФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3703,Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,73351,2020,Легковые транспортные средства,установлен,да,0
3704,Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,13447,2020,Легковые транспортные средства,установлен,да,0
3705,Самара (Курумоч),Волгоградский,53.50898,50.151718,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3706,Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3707,Санкт-Петербург (Пулково),Санкт-Петербургский,59.800311,30.26996,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3708,Саранск,Волгоградский,54.14783,45.221158,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3709,Саратов (Гагарин),Волгоградский,51.558451,46.031133,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3710,Светлый,Уральский,50.710306,61.02061,ПФО,АПП,737,2020,Легковые транспортные средства,установлен,да,0
3711,Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,145095,2020,Легковые транспортные средства,установлен,да,669410
3712,Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3713,Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3714,Севастополь,Крымский,44.614917,33.526481,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3715,Симферополь,Крымский,45.019546,33.997492,ЮФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3716,Симферополь,Крымский,44.961745,34.082217,ЮФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3717,Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3718,Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,да,0
3719,Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,30082,2020,Легковые транспортные средства,установлен,да,0
3720,Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3721,"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2020,Легковые транспортные средства,установлен,нет,0
3722,Советская Гавань,Хабаровский,48.97797,140.286373,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3723,Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,501,2020,Легковые транспортные средства,установлен,да,0
3724,Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3725,Сочи,Сочинский,43.448578,39.941161,ЮФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3726,Сочи,Сочинский,43.581097,39.718198,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3727,Ставрополь (Шпаковское),Ростовский,45.112537,42.104765,СКФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3728,Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,107,2020,Легковые транспортные средства,установлен,да,0
3729,Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2020,Легковые транспортные средства,установлен,нет,0
3730,Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,14151,2020,Легковые транспортные средства,установлен,да,120450
3731,Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3732,Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,8120,2020,Легковые транспортные средства,установлен,да,36500
3733,Сургут,Уральский,61.340063,73.405016,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3734,Сыктывкар,Мурманский,61.663804,50.851443,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3735,Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,215,2020,Легковые транспортные средства,установлен,да,0
3736,Таганрог,Ростовский,47.205283,38.950843,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3737,Таганрог (Южный),Ростовский,47.197077,38.877235,ЮФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3738,Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,23422,2020,Легковые транспортные средства,установлен,да,51100
3739,Тамань,Сочинский,45.133751,36.670166,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3740,Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,2676,2020,Легковые транспортные средства,установлен,да,22425
3741,Тверь (Мигалово),Центральный аппарат,56.829673,35.755184,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3742,Темрюк,Сочинский,45.321156,37.368688,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3743,Теплое,Уральский,51.504733,51.543277,ПФО,АПП,17320,2020,Легковые транспортные средства,установлен,да,0
3744,Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3745,Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3746,Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,3452,2020,Легковые транспортные средства,установлен,да,0
3747,Титовка,Ростовский,48.995,39.7369,ЮФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3748,Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3749,Тобольск (Ремезов),Уральский,58.061721,68.330397,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,нет,0
3750,Томск (Богашево),Новосибирский,56.388117,85.209445,СФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3751,Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,417,2020,Легковые транспортные средства,установлен,да,0
3752,Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,177689,2020,Легковые транспортные средства,установлен,да,766500
3753,Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3754,Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,71896,2020,Легковые транспортные средства,установлен,да,328500
3755,"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3756,Туапсе,Сочинский,44.093643,39.074688,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3757,Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0
3758,Тюмень (Рощино),Уральский,57.181153,65.349182,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3759,Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0
3760,Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,21371,2020,Легковые транспортные средства,установлен,да,591300
3761,Углегорск,Владивостокский,49.076574,142.033563,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,нет,0
3762,Улан-Удэ (Мухино),Читинский,51.804968,107.443873,ДФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3763,Ульяновск (Баратаевка),Волгоградский,54.2648,48.2235,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3764,Ульяновск (Восточный),Волгоградский,54.414059,48.800202,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3765,Успенская,Ростовский,47.688997,38.677759,ЮФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3766,Усть-Луга,Санкт-Петербургский,59.694155,28.431728,СЗФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3767,Уфа,Уральский,54.343363,55.504405,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3768,Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,нет,0
3769,Уэлен,Владивостокский,66.157446,190.19614,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,нет,0
3770,Феодосия,Крымский,45.030754,35.385505,ЮФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3771,Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,0,2020,Легковые транспортные средства,установлен,да,0
3772,Хабаровск (Новый),Хабаровский,48.52694,135.172442,ДФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3773,Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,3757,2020,Легковые транспортные средства,установлен,да,15548
3774,Ханты-Мансийск,Уральский,61.026293,69.096166,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3775,Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3776,Холмск,Владивостокский,47.046599,142.044024,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
3777,Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,316,2020,Легковые транспортные средства,установлен,да,4485
3778,Чебоксары,Волгоградский,56.132199998945,47.2518999986351,ПФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3779,Челябинск (Баландино),Уральский,55.297409,61.511778,УФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3780,Череповец,Санкт-Петербургский,59.281663,38.021305,СЗФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3781,Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,0,2020,Легковые транспортные средства,установлен,да,0
3782,Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,42571,2020,Легковые транспортные средства,установлен,да,419750
3783,Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0
3784,Чертково,Ростовский,49.387003,40.123997,ЮФО,АПП,73020,2020,Легковые транспортные средства,установлен,да,0
3785,Чертково,Ростовский,49.37829,40.145063,ЮФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0
3786,Чита (Кадала),Читинский,52.020311,113.308658,ДФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3787,Чкаловский,Центральный аппарат,55.894051,38.049942,ЦФО,ВПП,0,2020,Легковые транспортные средства,установлен,да,0
3788,Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,67,2020,Легковые транспортные средства,установлен,да,2470
3789,Шахтерск,Владивостокский,49.161656,142.057986,ДФО,МПП,0,2020,Легковые транспортные средства,установлен,да,0
