,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
240,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,169212.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.55
241,43.397314,40.002072,Адлер,ЮФО,АПП,90346.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.65
242,47.119011,39.417494,Азов,ЮФО,МПП,1829.0,2022,Грузовые транспортные средства,Ростовский,установлен,да,не применимо,694.0,2.64
243,46.136665,33.646077,Армянск,ЮФО,АПП,87536.0,2022,Грузовые транспортные средства,Крымский,установлен,да,не применимо (Херсонская обл.),10950.0,7.99
244,54.006458,61.625926,Бугристое,УФО,АПП,296124.0,2022,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.7
245,42.768431,44.631185,Верхний Ларс,СКФО,АПП,281926.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,4.54
246,47.1616,38.242846,Весело-Вознесенка,ЮФО,АПП,180686.0,2022,Грузовые транспортные средства,Ростовский,установлен,да,не применимо (ДНР),109500.0,1.65
247,48.061967,39.843771,Гуково,ЮФО,АПП,39528.0,2022,Грузовые транспортные средства,Ростовский,установлен,да,не применимо (ЛНР),10950.0,3.61
248,42.056396,48.306587,Дербент,СКФО,ЖДПП,6665.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840.0,1.14
249,45.976242,34.571801,Джанкой,ЮФО,АПП,223779.0,2022,Грузовые транспортные средства,Крымский,установлен,да,не применимо (Херсонская обл.),14600.0,15.33
250,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,60879.0,2022,Грузовые транспортные средства,Ростовский,установлен,да,не применимо (ЛНР),36500.0,1.67
251,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,56007.0,2022,Грузовые транспортные средства,Ростовский,установлен,да,не применимо (ДНР),10950.0,5.11
252,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,121937.0,2022,Грузовые транспортные средства,Ростовский,установлен,да,не применимо (ДНР),73000.0,1.67
253,68.97922,33.068085,Мурманск,СЗФО,МПП,2462.0,2022,Грузовые транспортные средства,Мурманский,установлен,да,не применимо,1825.0,1.35
254,44.720898,37.782973,Новороссийск,ЮФО,МПП,8414.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,не применимо,6205.0,1.36
255,41.708056,48.473279,Ново-Филя,СКФО,АПП,26300.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,4380.0,6.0
256,46.215373,33.633651,Перекоп,ЮФО,АПП,42015.0,2022,Грузовые транспортные средства,Крымский,установлен,да,не применимо (Херсонская обл.),7300.0,5.76
257,49.806705,38.959084,Ровеньки,ЦФО,АПП,51245.0,2022,Грузовые транспортные средства,Белгородский,установлен,да,не применимо (ЛНР),18250.0,2.81
258,71.219395,72.047648,Сабетта,УФО,МПП,598.0,2022,Грузовые транспортные средства,Мурманский,установлен,да,не применимо,365.0,1.64
259,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,35767.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,18250.0,1.96
260,49.643629,89.44195,Ташанта,СФО,АПП,11239.0,2022,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980.0,1.88
261,45.321156,37.368688,Темрюк,ЮФО,МПП,1801.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,не применимо,1095.0,1.64
262,44.093643,39.074688,Туапсе,ЮФО,МПП,2184.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,не применимо,1460.0,1.5
263,59.694155,28.431728,Усть-Луга,СЗФО,МПП,4698.0,2022,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,не применимо,3650.0,1.29
264,54.645721,22.736633,Чернышевское,СЗФО,АПП,139439.0,2022,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.27
265,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,184183.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.68
266,43.397314,40.002072,Адлер,ЮФО,АПП,89761.0,2017,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.46
267,42.768431,44.631185,Верхний Ларс,СКФО,АПП,17300.0,2017,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.58
268,48.061967,39.843771,Гуково,ЮФО,АПП,9290.0,2017,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.27
269,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,21634.0,2017,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,2.96
270,59.376896,28.211033,Ивангород,СЗФО,АПП,28098.0,2017,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900.0,1.28
271,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,10325.0,2017,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.41
272,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,17552.0,2017,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,2.4
273,50.338847,36.28717,Нехотеевка,ЦФО,АПП,37432.0,2017,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280.0,1.42
274,51.881005,34.337551,Троебортное,ЦФО,АПП,19100.0,2017,Паспорта транспортных средств,Брянский,установлен,да,Украина,18250.0,1.05
275,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,10405.0,2017,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Азербайджанская Республика,7300.0,1.43
276,43.397314,40.002072,Адлер,ЮФО,АПП,93065.0,2018,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.55
277,42.768431,44.631185,Верхний Ларс,СКФО,АПП,19840.0,2018,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.81
278,48.061967,39.843771,Гуково,ЮФО,АПП,8694.0,2018,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.19
279,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,20595.0,2018,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,2.82
280,59.376896,28.211033,Ивангород,СЗФО,АПП,28817.0,2018,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900.0,1.32
281,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,9702.0,2018,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.33
282,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,16087.0,2018,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,2.2
283,50.338847,36.28717,Нехотеевка,ЦФО,АПП,30963.0,2018,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280.0,1.18
284,53.751561,91.400039,Абакан,СФО,ВПП,382.0,2019,Паспорта транспортных средств,Новосибирский,установлен,да,не применимо,365.0,1.05
285,43.397314,40.002072,Адлер,ЮФО,АПП,95518.0,2019,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.62
286,42.768431,44.631185,Верхний Ларс,СКФО,АПП,21371.0,2019,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.95
287,48.061967,39.843771,Гуково,ЮФО,АПП,8073.0,2019,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.11
288,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,23916.0,2019,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,3.28
289,49.632878,117.373814,Забайкальск,ДФО,АПП,59803.0,2019,Паспорта транспортных средств,Читинский,установлен,да,Китайская Народная Республика,58400.0,1.02
290,59.376896,28.211033,Ивангород,СЗФО,АПП,31076.0,2019,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900.0,1.42
291,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,12646.0,2019,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.73
292,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,16979.0,2019,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,2.33
293,50.338847,36.28717,Нехотеевка,ЦФО,АПП,28103.0,2019,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280.0,1.07
294,43.397314,40.002072,Адлер,ЮФО,АПП,52266.0,2020,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,1.43
295,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,7861.0,2020,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.08
296,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,10851.0,2020,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.49
297,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,10800.0,2020,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.48
298,43.397314,40.002072,Адлер,ЮФО,АПП,103181.0,2021,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.83
299,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,1131.0,2021,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,1095.0,1.03
300,48.061967,39.843771,Гуково,ЮФО,АПП,9468.0,2021,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.3
301,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,11701.0,2021,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.6
302,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,13872.0,2021,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.9
303,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,16319.0,2021,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,2.24
304,43.397314,40.002072,Адлер,ЮФО,АПП,82102.0,2022,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.25
305,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,1118.0,2022,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,1095.0,1.02
306,42.768431,44.631185,Верхний Ларс,СКФО,АПП,13817.0,2022,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.26
307,48.061967,39.843771,Гуково,ЮФО,АПП,9034.0,2022,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.24
308,48.293035,39.913518,Донецк (Изварино),ЮФО,АПП,13115.0,2022,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ЛНР),7300.0,1.8
309,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,13063.0,2022,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,1.79
310,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,16353.0,2022,Паспорта транспортных средств,Ростовский,установлен,да,не применимо (ДНР),7300.0,2.24
311,44.217512,43.087411,Минеральные Воды,СКФО,ВПП,7919.0,2022,Паспорта транспортных средств,Ростовский,установлен,да,не применимо,7665.0,1.03
312,43.448578,39.941161,Сочи,ЮФО,ВПП,9063.0,2022,Паспорта транспортных средств,Сочинский,установлен,да,не применимо,4380.0,2.07
313,47.119011,39.417494,Азов,ЮФО,МПП,4705484.0,2017,Грузы в тоннах,Ростовский,установлен,да,не применимо,2685000.0,1.75
314,43.105749,131.877652,Владивосток,ДФО,МПП,12824860.0,2017,Грузы в тоннах,Владивостокский,установлен,да,не применимо,300000.0,42.75
315,42.727218,133.080673,Восточный,ДФО,МПП,30517333.488,2017,Грузы в тоннах,Владивостокский,установлен,да,не применимо,28400000.0,1.07
316,59.36793,28.233993,Ивангород,СЗФО,ЖДПП,4977882.0,2017,Грузы в тоннах,Санкт-Петербургский,установлен,да,Эстонская Республика,4088000.0,1.22
317,51.647524,34.137715,Крупец,ЦФО,АПП,607357.0,2017,Грузы в тоннах,Брянский,установлен,да,Украина,365000.0,1.66
318,42.987707,47.508277,Махачкала,СКФО,МПП,4652222.522,2017,Грузы в тоннах,Северо-Кавказский,установлен,да,не применимо,1204500.0,3.86
319,68.97922,33.068085,Мурманск,СЗФО,МПП,45736294.473,2017,Грузы в тоннах,Мурманский,установлен,да,не применимо,25516785.0,1.79
320,44.720898,37.782973,Новороссийск,ЮФО,МПП,157884380.29,2017,Грузы в тоннах,Сочинский,установлен,да,не применимо,169253.0,932.83
321,48.52694,135.172442,Хабаровск (Новый),ДФО,ВПП,12499.0,2017,Грузы в тоннах,Хабаровский,установлен,да,не применимо,9125.0,1.37
322,47.119011,39.417494,Азов,ЮФО,МПП,5344792.0,2018,Грузы в тоннах,Ростовский,установлен,да,не применимо,2685000.0,1.99
323,63.064571,179.366523,Беринговский,ДФО,МПП,393126.0,2018,Грузы в тоннах,Владивостокский,установлен,да,не применимо,309400.0,1.27
324,43.105749,131.877652,Владивосток,ДФО,МПП,15176197.0,2018,Грузы в тоннах,Владивостокский,установлен,да,не применимо,300000.0,50.59
