Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,165646,2017,Число людей,установлен,да,0,0.0,Украина
Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,15523,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,2597753,2017,Число людей,установлен,да,1436640,1.81,Республика Грузия
Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,3791,2017,Число людей,установлен,да,0,0.0,Монголия
Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,475134,2017,Число людей,установлен,да,700800,0.68,Республика Казахстан
Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,131497,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,197026,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,100032,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,1237108,2017,Число людей,установлен,да,1496500,0.83,Финляндская Республика
Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,2916,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,31674,2017,Число людей,установлен,да,0,0.0,Азербайджанская Республика
Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0,0.0,Украина
Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0,0.0,Украина
Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,220413,2017,Число людей,установлен,да,350400,0.63,Республика Казахстан
Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,201751,2017,Число людей,установлен,да,1076750,0.19,Украина
Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,601320,2017,Число людей,установлен,да,0,0.0,Республика Польша
Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,117636,2017,Число людей,установлен,да,0,0.0,Азербайджанская Республика
Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2017,Число людей,установлен,да,5657500,0.0,Литовская Республика
Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Республика Польша
Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,4179,2017,Число людей,установлен,да,0,0.0,Республика Польша
Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Монголия
Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,1767368,2017,Число людей,установлен,да,1825000,0.97,Китайская Народная Республика
Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,34374,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,12339,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,198636,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,3765083,2017,Число людей,установлен,да,2555000,1.47,Эстонская Республика
Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,119183,2017,Число людей,установлен,да,438000,0.27,Эстонская Республика
Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,35920,2017,Число людей,установлен,да,1095000,0.03,Эстонская Республика
Илек,Уральский,51.492998,53.382564,ПФО,АПП,549491,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
