Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,501,2020,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,107,2020,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2020,Легковые транспортные средства,установлен,нет,0,0.0,Эстонская Республика
Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,14151,2020,Легковые транспортные средства,установлен,да,120450,0.12,Украина
Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Украина
Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,8120,2020,Легковые транспортные средства,установлен,да,36500,0.22,Финляндская Республика
Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,215,2020,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,23422,2020,Легковые транспортные средства,установлен,да,51100,0.46,Азербайджанская Республика
Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,2676,2020,Легковые транспортные средства,установлен,да,22425,0.12,Монголия
Теплое,Уральский,51.504733,51.543277,ПФО,АПП,17320,2020,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,3452,2020,Легковые транспортные средства,установлен,да,0,0.0,Украина
Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,417,2020,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,177689,2020,Легковые транспортные средства,установлен,да,766500,0.23,Финляндская Республика
Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,71896,2020,Легковые транспортные средства,установлен,да,328500,0.22,Украина
"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2020,Легковые транспортные средства,установлен,нет,0,0.0,Монголия
Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,21371,2020,Легковые транспортные средства,установлен,да,591300,0.04,Латвийская Республика
Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2020,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,3757,2020,Легковые транспортные средства,установлен,да,15548,0.24,Монголия
Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Корейская Народно-Демократическая Республика
Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,316,2020,Легковые транспортные средства,установлен,да,4485,0.07,Монголия
Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,42571,2020,Легковые транспортные средства,установлен,да,419750,0.1,Литовская Республика
Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Литовская Республика
Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,67,2020,Легковые транспортные средства,установлен,да,2470,0.03,Монголия
Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,29296,2020,Легковые транспортные средства,установлен,да,273750,0.11,Украина
Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,48810,2020,Легковые транспортные средства,установлен,да,591300,0.08,Эстонская Республика
Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,0,2020,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,67883,2020,Легковые транспортные средства,установлен,да,65700,1.03,Азербайджанская Республика
Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,2347832,2021,Легковые транспортные средства,установлен,да,456250,5.15,Республика Абхазия
Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Абхазия
Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Монголия
Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Монголия
Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Монголия
Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,4460,2021,Легковые транспортные средства,установлен,да,328500,0.01,Республика Польша
Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Республика Польша
Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,1771,2021,Легковые транспортные средства,установлен,да,0,0.0,Королевство Норвегия
Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,368,2021,Легковые транспортные средства,установлен,да,0,0.0,Латвийская Республика
Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,70959,2021,Легковые транспортные средства,установлен,да,547500,0.13,Финляндская Республика
Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Бугристое,Уральский,54.006458,61.625926,УФО,АПП,79829,2021,Легковые транспортные средства,установлен,да,584000,0.14,Республика Казахстан
Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,15834,2021,Легковые транспортные средства,установлен,да,591300,0.03,Латвийская Республика
Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Республика Казахстан
Бусловская,Санкт-Петербургский,60.840635,28.378262,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,118354,2021,Легковые транспортные средства,установлен,да,73000,1.62,Республика Грузия
Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,20279,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,1188,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,44745,2021,Легковые транспортные средства,установлен,да,255500,0.18,Финляндская Республика
Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Азербайджанская Республика
Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,109500,0.0,Украина
Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,273750,0.0,Республика Польша
Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Азербайджанская Республика
Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,949000,0.0,Литовская Республика
Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Республика Польша
Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Польша
Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Монголия
Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,13831,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,104929,2021,Легковые транспортные средства,установлен,да,438000,0.24,Эстонская Республика
Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Эстонская Республика
Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Эстонская Республика
Илек,Уральский,51.492998,53.382564,ПФО,АПП,28916,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,73698,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,0,2021,Легковые транспортные средства,установлен,да,36500,0.0,утратило значение (Украина)
Казанское,Уральский,55.393328,69.338667,УФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,25753,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Республика Казахстан
Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,138700,0.0,Украина
Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Эстонская Республика
Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Республика Польша
Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,15585,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,9050,2021,Легковые транспортные средства,установлен,да,120450,0.08,Эстонская Республика
Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,1300,2021,Легковые транспортные средства,установлен,да,219000,0.01,Монголия
Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Украина
Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,715,2021,Легковые транспортные средства,установлен,да,49275,0.01,Финляндская Республика
Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,282,2021,Легковые транспортные средства,установлен,да,138700,0.0,Латвийская Республика
Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,12365,2021,Легковые транспортные средства,установлен,да,80300,0.15,Финляндская Республика
Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Польша
Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,53666,2021,Легковые транспортные средства,установлен,да,949000,0.06,Республика Польша
Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,164250,0.0,Республика Польша
Мариинский,Уральский,52.319569,61.001741,УФО,АПП,7006,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,70361,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,39989,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Монды,Читинский,51.636004,100.860313,ДФО,АПП,1,2021,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,58400,0.0,Литовская Республика
Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Монголия
Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,2286,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Украина
Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Литовская Республика
Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,274797,2021,Легковые транспортные средства,установлен,да,700800,0.39,Украина
Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,371722,2021,Легковые транспортные средства,установлен,да,62050,5.99,Республика Южная Осетия
Николаевка,Уральский,53.003526,62.129645,УФО,АПП,8030,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,0,2021,Легковые транспортные средства,установлен,да,12775,0.0,Азербайджанская Республика
Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,25316,2021,Легковые транспортные средства,установлен,да,167900,0.15,Украина
Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,15176,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,18646,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Олочи,Читинский,51.336732,119.873112,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,29595,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Орск,Уральский,51.084344,58.475364,ПФО,АПП,18175,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,22703,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Петухово,Уральский,55.090975,68.242499,УФО,АПП,51187,2021,Легковые транспортные средства,установлен,да,292000,0.18,Республика Казахстан
Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Эстонская Республика
Погар,Брянский,52.369862,33.243985,ЦФО,АПП,0,2021,Легковые транспортные средства,установлен,да,102200,0.0,Украина
Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Литовская Республика
Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Китайская Народная Республика
Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Латвийская Республика
Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Эстонская Республика
Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Латвийская Республика
Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Литовская Республика
Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,43900,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,1727,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Светлый,Уральский,50.710306,61.02061,ПФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Республика Казахстан
Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,716,2021,Легковые транспортные средства,установлен,да,669410,0.0,Финляндская Республика
Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Финляндская Республика
Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Латвийская Республика
Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Латвийская Республика
Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,16106,2021,Легковые транспортные средства,установлен,да,0,0.0,Литовская Республика
Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Литовская Республика
"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2021,Легковые транспортные средства,установлен,нет,0,0.0,Литовская Республика
Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Монголия
Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,0,2021,Легковые транспортные средства,установлен,да,0,0.0,Китайская Народная Республика
