,Федеральный округ,Вид,Тип контроля,Процент контроля
1144,ЮФО,МПП,Карантинный фитосанитарный,100.0
1147,ДФО,МПП,Карантинный фитосанитарный,66.0
1149,ДФО,СПП,Карантинный фитосанитарный,45.0
1151,ДФО,ВПП,Карантинный фитосанитарный,100.0
1153,ЮФО,ВПП,Карантинный фитосанитарный,82.0
1156,СЗФО,МПП,Карантинный фитосанитарный,57.0
1157,СЗФО,ВПП,Карантинный фитосанитарный,89.0
1158,СФО,АПП,Карантинный фитосанитарный,22.0
1161,СЗФО,АПП,Карантинный фитосанитарный,73.0
1162,СЗФО,ЖДПП,Карантинный фитосанитарный,83.0
1164,ЦФО,АПП,Карантинный фитосанитарный,68.0
1166,ЦФО,ВПП,Карантинный фитосанитарный,94.0
1167,ЦФО,ЖДПП,Карантинный фитосанитарный,64.0
1171,ДФО,ППП,Карантинный фитосанитарный,0.0
1183,УФО,АПП,Карантинный фитосанитарный,0.0
1185,УФО,ЖДПП,Карантинный фитосанитарный,0.0
1194,СКФО,АПП,Карантинный фитосанитарный,100.0
1201,СКФО,ВПП,Карантинный фитосанитарный,86.0
1226,СКФО,ЖДПП,Карантинный фитосанитарный,100.0
1230,СФО,МПП,Карантинный фитосанитарный,50.0
1238,УФО,ВПП,Карантинный фитосанитарный,80.0
1244,ДФО,ЖДПП,Карантинный фитосанитарный,86.0
1251,СЗФО,ППП,Карантинный фитосанитарный,100.0
1253,ПФО,ВПП,Карантинный фитосанитарный,87.0
1254,ПФО,АПП,Карантинный фитосанитарный,0.0
1256,ПФО,ЖДПП,Карантинный фитосанитарный,0.0
1259,СФО,ЖДПП,Карантинный фитосанитарный,0.0
1325,СКФО,МПП,Карантинный фитосанитарный,100.0
1411,СЗФО,РПП,Карантинный фитосанитарный,33.0
1422,УФО,МПП,Карантинный фитосанитарный,100.0
1449,СЗФО,ОПП,Карантинный фитосанитарный,0.0
1491,ДФО,РПП,Карантинный фитосанитарный,100.0
1501,СФО,РПП,Карантинный фитосанитарный,0.0
1520,ДФО,АПП,Ветеринарный,65.0
1521,СФО,ВПП,Ветеринарный,83.0
1522,ЮФО,АПП,Ветеринарный,63.0
1523,ЮФО,ЖДПП,Ветеринарный,46.0
1524,ЮФО,МПП,Ветеринарный,100.0
1527,ДФО,МПП,Ветеринарный,66.0
1529,ДФО,СПП,Ветеринарный,45.0
1531,ДФО,ВПП,Ветеринарный,100.0
1533,ЮФО,ВПП,Ветеринарный,82.0
1536,СЗФО,МПП,Ветеринарный,71.0
1537,СЗФО,ВПП,Ветеринарный,89.0
1538,СФО,АПП,Ветеринарный,22.0
1541,СЗФО,АПП,Ветеринарный,67.0
1542,СЗФО,ЖДПП,Ветеринарный,83.0
1544,ЦФО,АПП,Ветеринарный,68.0
1546,ЦФО,ВПП,Ветеринарный,94.0
1547,ЦФО,ЖДПП,Ветеринарный,64.0
1551,ДФО,ППП,Ветеринарный,0.0
1563,УФО,АПП,Ветеринарный,0.0
1565,УФО,ЖДПП,Ветеринарный,0.0
1574,СКФО,АПП,Ветеринарный,100.0
1581,СКФО,ВПП,Ветеринарный,86.0
1606,СКФО,ЖДПП,Ветеринарный,100.0
1610,СФО,МПП,Ветеринарный,50.0
1618,УФО,ВПП,Ветеринарный,80.0
1624,ДФО,ЖДПП,Ветеринарный,86.0
